Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
77,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,18-10-2015
138,140,6,5,98.57,3,caught,1,v South Africa,Chennai,22-10-2015
7,6,0,1,116.66,3,caught,2,v South Africa,Mumbai,25-10-2015
91,97,9,1,93.81,3,caught,1,v Australia,Perth,12-01-2016
59,67,4,0,88.05,3,run out,1,v Australia,Brisbane,15-01-2016
117,117,7,2,100,3,caught,1,v Australia,Melbourne,17-01-2016
106,92,11,1,115.21,3,caught,2,v Australia,Canberra,20-01-2016
8,11,1,0,72.72,3,caught,2,v Australia,Sydney,23-01-2016
85,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,16-10-2016
9,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,20-10-2016
154,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,23-10-2016
45,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,26-10-2016
65,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,29-10-2016
122,105,8,5,116.19,3,caught,2,v England,Pune,15-01-2017
8,5,2,0,160,3,caught,1,v England,Cuttack,19-01-2017
55,63,8,0,87.3,3,caught,2,v England,Kolkata,22-01-2017
